SampleID	nfcore_FRIP	Arch150bpConsensus_FRIP_OLD	Arch150bpConsensus_reciprocalFRIP_OLD	Arch150bpConsensus_FRIP	Arch150bpConsensus_reciprocalFRIP	Library_ATAC	DataSet	Publication	BiologicalReplicate	TechnicalReplicate	NumCellsAssay	Tissue	Tumor	NumTumorCells	DayAdoptiveTransferCD8	NumCD8Transfer	Infection	PFU	DayHarvested	TCR	Retrovirus	Phenotype	Setting	MouseStrain	Age	Background	Treatment4GroupLabel	Treatment	Dysfunction	SelectionMethod	nfcore_bam_path	tn5_adjusted_bed_path	sample_basename	archr_peak_group_OLD	bw_FRIP_inputs_OLD	archr_peak_group	bw_FRIP_inputs
LCMV_Round3_S1_Slam	0.478912	0.378519	2.641875309	0.380879	2.625505738	Paired	GSE122713	Miller2019	1	1	5,000–50,000	Spleen	NA	NA	NA	NA	LCMV-cl13	2000000	30	Endogenous		Progenitor	Infection	C57BL/6		B6	None	NA	Y	Live_Slamf6+Tim3-GP33 Tetramer+ CD44+PD-1+ CD8+	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/LCMV_Round3_S1_Slam_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/LCMV_Round3_S1_Slam_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	LCMV_Round3_S1_Slam_ATAC_REP1.mLb.clN	Miller2019_Endogenous_Progenitor_Infection_None	LCMV_Round3_S1_Slam_ATAC_REP1.mLb.clN,0.378519,2.64187530876918	Miller2019_Endogenous_Progenitor_Infection_None	LCMV_Round3_S1_Slam_ATAC_REP1.mLb.clN,0.380879,2.62550573804279
LCMV_Round3_S1_TIM	0.251258	0.206164	4.850507363	0.207631	4.816236496	Paired	GSE122713	Miller2019	1	1	5,000–50,000	Spleen	NA	NA	NA	NA	LCMV-cl13	2000000	30	Endogenous		Terminal	Infection	C57BL/6		B6	None	NA	Y	Live_Slamf6-Tim3+GP33 Tetramer+ CD44+PD-1+ CD8+	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/LCMV_Round3_S1_TIM_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/LCMV_Round3_S1_TIM_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	LCMV_Round3_S1_TIM_ATAC_REP1.mLb.clN	Miller2019_Endogenous_Terminal_Infection_None	LCMV_Round3_S1_TIM_ATAC_REP1.mLb.clN,0.206164,4.85050736307018	Miller2019_Endogenous_Terminal_Infection_None	LCMV_Round3_S1_TIM_ATAC_REP1.mLb.clN,0.207631,4.81623649647692
LCMV_Round3_S2_Slam	0.594518	0.484134	2.065543837	0.486963	2.053544109	Paired	GSE122713	Miller2019	2	1	5,000–50,000	Spleen	NA	NA	NA	NA	LCMV-cl13	2000000	30	Endogenous		Progenitor	Infection	C57BL/6		B6	None	NA	Y	Live_Slamf6+Tim3-GP33 Tetramer+ CD44+PD-1+ CD8+	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/LCMV_Round3_S2_Slam_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/LCMV_Round3_S2_Slam_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	LCMV_Round3_S2_Slam_ATAC_REP1.mLb.clN	Miller2019_Endogenous_Progenitor_Infection_None	LCMV_Round3_S2_Slam_ATAC_REP1.mLb.clN,0.484134,2.06554383703685	Miller2019_Endogenous_Progenitor_Infection_None	LCMV_Round3_S2_Slam_ATAC_REP1.mLb.clN,0.486963,2.05354410910069
LCMV_Round3_S2_TIM	0.431087	0.359117	2.784607802	0.361434	2.766756863	Paired	GSE122713	Miller2019	2	1	5,000–50,000	Spleen	NA	NA	NA	NA	LCMV-cl13	2000000	30	Endogenous		Terminal	Infection	C57BL/6		B6	None	NA	Y	Live_Slamf6-Tim3+GP33 Tetramer+ CD44+PD-1+ CD8+	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/LCMV_Round3_S2_TIM_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/LCMV_Round3_S2_TIM_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	LCMV_Round3_S2_TIM_ATAC_REP1.mLb.clN	Miller2019_Endogenous_Terminal_Infection_None	LCMV_Round3_S2_TIM_ATAC_REP1.mLb.clN,0.359117,2.78460780191414	Miller2019_Endogenous_Terminal_Infection_None	LCMV_Round3_S2_TIM_ATAC_REP1.mLb.clN,0.361434,2.7667568629404
Philip2017_Effector5_1	0.256303	0.222309	4.498243436	0.22407	4.462891061	Paired	GSE89309	Philip2017	1	1		Spleen	NA		0	100000	LmTAG	5000000	5	Tg_SV40-I		Effector	Infection	TCRTAG-Thy1.1	6-12weeks	B6	None	NA	N	Sort-purified (CD8/Thy1.1) D5 effector TCR SV40-I CD8 T cells replicate#1	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Effector5_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Effector5_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Effector5_1_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Effector_Infection_None	Philip2017_Effector5_1_ATAC_REP1.mLb.clN,0.222309,4.49824343593827	Philip2017_Tg_SV40-I_Effector-d5_Infection_None	Philip2017_Effector5_1_ATAC_REP1.mLb.clN,0.22407,4.46289106082921
Philip2017_Effector5_2	0.330315	0.281224	3.555884277	0.283332	3.529428374	Paired	GSE89309	Philip2017	2	1		Spleen	NA		0	100000	LmTAG	5000000	5	Tg_SV40-I		Effector	Infection	TCRTAG-Thy1.1	6-12weeks	B6	None	NA	N	Sort-purified (CD8/Thy1.1) D5 effector TCR SV40-I CD8 T cells replicate#2	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Effector5_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Effector5_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Effector5_2_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Effector_Infection_None	Philip2017_Effector5_2_ATAC_REP1.mLb.clN,0.281224,3.55588427730208	Philip2017_Tg_SV40-I_Effector-d5_Infection_None	Philip2017_Effector5_2_ATAC_REP1.mLb.clN,0.283332,3.52942837378058
Philip2017_Effector5_3	0.21313	0.183722	5.443006281	0.185297	5.396741448	Paired	GSE89309	Philip2017	3	1		Spleen	NA		0	100000	LmTAG	5000000	5	Tg_SV40-I		Effector	Infection	TCRTAG-Thy1.1	6-12weeks	B6	None	NA	N	Sort-purified (CD8/Thy1.1) D5 effector TCR SV40-I CD8 T cells replicate#3	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Effector5_3_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Effector5_3_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Effector5_3_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Effector_Infection_None	Philip2017_Effector5_3_ATAC_REP1.mLb.clN,0.183722,5.44300628122925	Philip2017_Tg_SV40-I_Effector-d5_Infection_None	Philip2017_Effector5_3_ATAC_REP1.mLb.clN,0.185297,5.39674144751399
Philip2017_Effector7_2	0.39043	0.333585	2.997736709	0.335792	2.978034021	Paired	GSE89309	Philip2017	2	1		Spleen	NA		0	100000	LmTAG	5000000	7	Tg_SV40-I		Effector	Infection	TCRTAG-Thy1.1	6-12weeks	B6	None	NA	N	Sort-purified (CD8/Thy1.1) D7 effector TCR SV40-I CD8 T cells replicate#2	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Effector7_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Effector7_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Effector7_2_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Effector_Infection_None	Philip2017_Effector7_2_ATAC_REP1.mLb.clN,0.333585,2.99773670878487	Philip2017_Tg_SV40-I_Effector-d7_Infection_None	Philip2017_Effector7_2_ATAC_REP1.mLb.clN,0.335792,2.97803402106066
Philip2017_Effector7_3	0.237834	0.209647	4.769922775	0.211166	4.735610846	Paired	GSE89309	Philip2017	3	1		Spleen	NA		0	100000	LmTAG	5000000	7	Tg_SV40-I		Effector	Infection	TCRTAG-Thy1.1	6-12weeks	B6	None	NA	N	Sort-purified (CD8/Thy1.1) D7 effector TCR SV40-I CD8 T cells replicate#3	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Effector7_3_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Effector7_3_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Effector7_3_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Effector_Infection_None	Philip2017_Effector7_3_ATAC_REP1.mLb.clN,0.209647,4.76992277495027	Philip2017_Tg_SV40-I_Effector-d7_Infection_None	Philip2017_Effector7_3_ATAC_REP1.mLb.clN,0.211166,4.73561084644308
Philip2017_Lesion14_1	0.225467	0.187794	5.324983759	0.190287	5.255219747	Paired	GSE89309	Philip2017	1	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	14	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D14 from early malignant lesions replicate#1	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion14_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion14_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion14_1_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal_Tumor_TAM	Philip2017_Lesion14_1_ATAC_REP1.mLb.clN,0.187794,5.32498375879954	Philip2017_Tg_SV40-I_Terminal-d14_Tumor_TAM	Philip2017_Lesion14_1_ATAC_REP1.mLb.clN,0.190287,5.25521974701372
