Sample	Group
LCMV_Round3_S1_Slam_ATAC_REP1.mLb.clN	Miller2019_Endogenous_Progenitor_Infection_None
LCMV_Round3_S1_TIM_ATAC_REP1.mLb.clN	Miller2019_Endogenous_Terminal_Infection_None
LCMV_Round3_S2_Slam_ATAC_REP1.mLb.clN	Miller2019_Endogenous_Progenitor_Infection_None
LCMV_Round3_S2_TIM_ATAC_REP1.mLb.clN	Miller2019_Endogenous_Terminal_Infection_None
Philip2017_Effector5_1_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Effector-d5_Infection_None
Philip2017_Effector5_2_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Effector-d5_Infection_None
Philip2017_Effector5_3_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Effector-d5_Infection_None
Philip2017_Effector7_2_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Effector-d7_Infection_None
Philip2017_Effector7_3_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Effector-d7_Infection_None
Philip2017_Lesion14_1_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal-d14_Tumor_TAM
Philip2017_Lesion14_2_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal-d14_Tumor_TAM
Philip2017_Lesion14_3_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal-d14_Tumor_TAM
Philip2017_Lesion21_1_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal-d21_Tumor_TAM
Philip2017_Lesion21_2_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal-d21_Tumor_TAM
Philip2017_Lesion21_3_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal-d21_Tumor_TAM
Philip2017_Lesion28_1_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal-d28_Tumor_TAM
Philip2017_Lesion28_2_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal-d28_Tumor_TAM
Philip2017_Lesion28_3_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal-d28_Tumor_TAM
Philip2017_Lesion35_1_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal-d35_Tumor_TAM
Philip2017_Lesion35_2_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal-d35_Tumor_TAM
Philip2017_Lesion35_3_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal-d35_Tumor_TAM
Philip2017_Lesion5_2_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Progenitor-d5_Tumor_TAM
Philip2017_Lesion5_3_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Progenitor-d5_Tumor_TAM
Philip2017_Lesion60_1_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal-d60_Tumor_TAM
Philip2017_Lesion60_2_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal-d60_Tumor_TAM
Philip2017_Lesion7_1_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Progenitor-d7_Tumor_TAM
Philip2017_Lesion7_2_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Progenitor-d7_Tumor_TAM
Philip2017_Memory_1_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Memory_Infection_None
Philip2017_Memory_3_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Memory_Infection_None
Philip2017_Naive_1_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Naive_Infection_None
