sample,fastq_1,fastq_2,replicate
2020_077_1,/Scottbrowne/seq/lab/atac/fastq/201029_A00405_0294_BHTKYMDRXX/2020_077_1_S24_L002_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/201029_A00405_0294_BHTKYMDRXX/2020_077_1_S24_L002_R2_001.fastq.gz,1
2020_077_2,/Scottbrowne/seq/lab/atac/fastq/201029_A00405_0294_BHTKYMDRXX/2020_077_2_S25_L002_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/201029_A00405_0294_BHTKYMDRXX/2020_077_2_S25_L002_R2_001.fastq.gz,1
2020_077_3,/Scottbrowne/seq/lab/atac/fastq/201029_A00405_0294_BHTKYMDRXX/2020_077_3_S26_L002_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/201029_A00405_0294_BHTKYMDRXX/2020_077_3_S26_L002_R2_001.fastq.gz,1
2021_029_11,/Scottbrowne/seq/lab/atac/fastq/210721_A00405_0432_BHCYFFDRXY/2021_029_11_S11_L001_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/210721_A00405_0432_BHCYFFDRXY/2021_029_11_S11_L001_R2_001.fastq.gz,1
2021_029_2,/Scottbrowne/seq/lab/atac/fastq/210721_A00405_0432_BHCYFFDRXY/2021_029_2_S3_L001_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/210721_A00405_0432_BHCYFFDRXY/2021_029_2_S3_L001_R2_001.fastq.gz,1
2021_029_7,/Scottbrowne/seq/lab/atac/fastq/210721_A00405_0432_BHCYFFDRXY/2021_029_7_S7_L001_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/210721_A00405_0432_BHCYFFDRXY/2021_029_7_S7_L001_R2_001.fastq.gz,1
2021_029_8,/Scottbrowne/seq/lab/atac/fastq/210721_A00405_0432_BHCYFFDRXY/2021_029_8_S8_L001_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/210721_A00405_0432_BHCYFFDRXY/2021_029_8_S8_L001_R2_001.fastq.gz,1
2021_039_1,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_039_1_S16_L002_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_039_1_S16_L002_R2_001.fastq.gz,1
2021_039_3,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_039_3_S18_L002_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_039_3_S18_L002_R2_001.fastq.gz,1
2021_056_2,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_056_2_S20_L002_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_056_2_S20_L002_R2_001.fastq.gz,1
2021_056_6,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_056_6_S23_L002_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_056_6_S23_L002_R2_001.fastq.gz,1
2021_056_8,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_056_8_S25_L002_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_056_8_S25_L002_R2_001.fastq.gz,1
2021_056_9,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_056_9_S26_L002_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_056_9_S26_L002_R2_001.fastq.gz,1
2021_062_1,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_062_1_S27_L002_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_062_1_S27_L002_R2_001.fastq.gz,1
2021_062_3,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_062_3_S29_L002_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_062_3_S29_L002_R2_001.fastq.gz,1
