sample,fastq_1,fastq_2,replicate
2019_133_1,/Scottbrowne/seq/lab/atac/fastq/200203_A00405_0203_AHGV7MDRXX/2019_133_1_S13_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/200203_A00405_0203_AHGV7MDRXX/2019_133_1_S13_R2_001.fastq.gz,1
2019_133_11,/Scottbrowne/seq/lab/atac/fastq/200203_A00405_0203_AHGV7MDRXX/2019_133_11_S22_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/200203_A00405_0203_AHGV7MDRXX/2019_133_11_S22_R2_001.fastq.gz,1
2019_133_3,/Scottbrowne/seq/lab/atac/fastq/200203_A00405_0203_AHGV7MDRXX/2019_133_3_S15_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/200203_A00405_0203_AHGV7MDRXX/2019_133_3_S15_R2_001.fastq.gz,1
2019_133_7,/Scottbrowne/seq/lab/atac/fastq/200203_A00405_0203_AHGV7MDRXX/2019_133_7_S19_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/200203_A00405_0203_AHGV7MDRXX/2019_133_7_S19_R2_001.fastq.gz,1
2020_077_4,/Scottbrowne/seq/lab/atac/fastq/201029_A00405_0294_BHTKYMDRXX/2020_077_4_S27_L002_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/201029_A00405_0294_BHTKYMDRXX/2020_077_4_S27_L002_R2_001.fastq.gz,1
2020_077_5,/Scottbrowne/seq/lab/atac/fastq/201029_A00405_0294_BHTKYMDRXX/2020_077_5_S28_L002_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/201029_A00405_0294_BHTKYMDRXX/2020_077_5_S28_L002_R2_001.fastq.gz,1
2020_077_7,/Scottbrowne/seq/lab/atac/fastq/201029_A00405_0294_BHTKYMDRXX/2020_077_7_S29_L002_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/201029_A00405_0294_BHTKYMDRXX/2020_077_7_S29_L002_R2_001.fastq.gz,1
2021_029_1,/Scottbrowne/seq/lab/atac/fastq/210721_A00405_0432_BHCYFFDRXY/2021_029_1_S2_L001_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/210721_A00405_0432_BHCYFFDRXY/2021_029_1_S2_L001_R2_001.fastq.gz,1
2021_029_4,/Scottbrowne/seq/lab/atac/fastq/210721_A00405_0432_BHCYFFDRXY/2021_029_4_S4_L001_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/210721_A00405_0432_BHCYFFDRXY/2021_029_4_S4_L001_R2_001.fastq.gz,1
2021_029_6,/Scottbrowne/seq/lab/atac/fastq/210721_A00405_0432_BHCYFFDRXY/2021_029_6_S6_L001_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/210721_A00405_0432_BHCYFFDRXY/2021_029_6_S6_L001_R2_001.fastq.gz,1
2021_029_9,/Scottbrowne/seq/lab/atac/fastq/210721_A00405_0432_BHCYFFDRXY/2021_029_9_S9_L001_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/210721_A00405_0432_BHCYFFDRXY/2021_029_9_S9_L001_R2_001.fastq.gz,1
2021_056_1,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_056_1_S19_L002_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_056_1_S19_L002_R2_001.fastq.gz,1
2021_056_3,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_056_3_S21_L002_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_056_3_S21_L002_R2_001.fastq.gz,1
2021_056_4,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_056_4_S22_L002_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_056_4_S22_L002_R2_001.fastq.gz,1
2021_056_7,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_056_7_S24_L002_R1_001.fastq.gz,/Scottbrowne/seq/lab/atac/fastq/211116_A00405_0493_AHK33HDRXY/2021_056_7_S24_L002_R2_001.fastq.gz,1
