Sample	Group
2021_056_9_REP1.mLb.clN	B6_CART
2021_029_7_REP1.mLb.clN	B6_CART
2021_056_6_REP1.mLb.clN	B6_CART
2021_029_11_REP1.mLb.clN	B6_CART
2021_029_2_REP1.mLb.clN	B6_CART
2021_056_8_REP1.mLb.clN	B6_CART
2021_029_8_REP1.mLb.clN	B6_CART
2021_056_2_REP1.mLb.clN	B6_CART
2021_056_7_REP1.mLb.clN.shifted_from_NOD_SHILTJ	NOD_CART
2021_029_4_REP1.mLb.clN.shifted_from_NOD_SHILTJ	NOD_CART
2021_056_1_REP1.mLb.clN.shifted_from_NOD_SHILTJ	NOD_CART
2021_056_3_REP1.mLb.clN.shifted_from_NOD_SHILTJ	NOD_CART
2021_056_4_REP1.mLb.clN.shifted_from_NOD_SHILTJ	NOD_CART
2021_029_1_REP1.mLb.clN.shifted_from_NOD_SHILTJ	NOD_CART
2021_029_6_REP1.mLb.clN.shifted_from_NOD_SHILTJ	NOD_CART
2021_029_9_REP1.mLb.clN.shifted_from_NOD_SHILTJ	NOD_CART
2020_077_2_REP1.mLb.clN	B6_Exh_LCMVcl13
2020_077_3_REP1.mLb.clN	B6_Exh_LCMVcl13
2020_077_1_REP1.mLb.clN	B6_Exh_LCMVcl13
2020_077_4_REP1.mLb.clN.shifted_from_NOD_SHILTJ	NOD_Exh_LCMVcl13
2020_077_5_REP1.mLb.clN.shifted_from_NOD_SHILTJ	NOD_Exh_LCMVcl13
2020_077_7_REP1.mLb.clN.shifted_from_NOD_SHILTJ	NOD_Exh_LCMVcl13
2021_062_1_REP1.mLb.clN	B6_Naive
2021_062_3_REP1.mLb.clN	B6_Naive
2021_039_3_REP1.mLb.clN	B6_Naive
2021_039_1_REP1.mLb.clN	B6_Naive
2019_133_1_REP1.mLb.clN.shifted_from_NOD_SHILTJ	NOD_Naive
2019_133_7_REP1.mLb.clN.shifted_from_NOD_SHILTJ	NOD_Naive
2019_133_11_REP1.mLb.clN.shifted_from_NOD_SHILTJ	NOD_Naive
2019_133_3_REP1.mLb.clN.shifted_from_NOD_SHILTJ	NOD_Naive
