SampleID	nfcore_FRIP	Arch150bpConsensus_FRIP	Arch150bpConsensus_reciprocalFRIP	Library_ATAC	DataSet	Publication	BiologicalReplicate	TechnicalReplicate	NumCellsAssay	Tissue	Tumor	NumTumorCells	DayAdoptiveTransferCD8	NumCD8Transfer	Infection	PFU	DayHarvested	TCR	Retrovirus	Phenotype	Setting	MouseStrain	Age	Background	Treatment4GroupLabel	Treatment	Dysfunction	SelectionMethod	nfcore_bam_path	tn5_adjusted_bed_path	sample_basename	archr_peak_group
LCMV_Round3_S1_Slam	0.478912	0.377834	2.646664938	Paired	GSE122713	Miller2019	1	1	5,000–50,000	Spleen	NA	NA	NA	NA	LCMV-cl13	2000000	30	Endogenous		Progenitor	Infection	C57BL/6		B6	None	NA	Y	Live_Slamf6+Tim3-GP33 Tetramer+ CD44+PD-1+ CD8+	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/LCMV_Round3_S1_Slam_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/LCMV_Round3_S1_Slam_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	LCMV_Round3_S1_Slam_ATAC_REP1.mLb.clN	Miller2019_Progenitor_Infection_None
LCMV_Round3_S1_TIM	0.251258	0.206026	4.853756322	Paired	GSE122713	Miller2019	1	1	5,000–50,000	Spleen	NA	NA	NA	NA	LCMV-cl13	2000000	30	Endogenous		Terminal	Infection	C57BL/6		B6	None	NA	Y	Live_Slamf6-Tim3+GP33 Tetramer+ CD44+PD-1+ CD8+	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/LCMV_Round3_S1_TIM_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/LCMV_Round3_S1_TIM_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	LCMV_Round3_S1_TIM_ATAC_REP1.mLb.clN	Miller2019_Terminal_Infection_None
LCMV_Round3_S2_Slam	0.594518	0.48346	2.068423448	Paired	GSE122713	Miller2019	2	1	5,000–50,000	Spleen	NA	NA	NA	NA	LCMV-cl13	2000000	30	Endogenous		Progenitor	Infection	C57BL/6		B6	None	NA	Y	Live_Slamf6+Tim3-GP33 Tetramer+ CD44+PD-1+ CD8+	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/LCMV_Round3_S2_Slam_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/LCMV_Round3_S2_Slam_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	LCMV_Round3_S2_Slam_ATAC_REP1.mLb.clN	Miller2019_Progenitor_Infection_None
LCMV_Round3_S2_TIM	0.431087	0.358957	2.785849001	Paired	GSE122713	Miller2019	2	1	5,000–50,000	Spleen	NA	NA	NA	NA	LCMV-cl13	2000000	30	Endogenous		Terminal	Infection	C57BL/6		B6	None	NA	Y	Live_Slamf6-Tim3+GP33 Tetramer+ CD44+PD-1+ CD8+	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/LCMV_Round3_S2_TIM_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/LCMV_Round3_S2_TIM_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	LCMV_Round3_S2_TIM_ATAC_REP1.mLb.clN	Miller2019_Terminal_Infection_None
Philip2017_Effector5_1	0.256303	0.22202	4.50409873	Paired	GSE89309	Philip2017	1	1		Spleen	NA		0	100000	LmTAG	5000000	5	Tg_SV40-I		Effector	Infection	TCRTAG-Thy1.1	6-12weeks	B6	None	NA	N	Sort-purified (CD8/Thy1.1) D5 effector TCR SV40-I CD8 T cells replicate#1	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Effector5_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Effector5_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Effector5_1_ATAC_REP1.mLb.clN	Philip2017_Effector_Infection_None
Philip2017_Effector5_2	0.330315	0.280869	3.560378682	Paired	GSE89309	Philip2017	2	1		Spleen	NA		0	100000	LmTAG	5000000	5	Tg_SV40-I		Effector	Infection	TCRTAG-Thy1.1	6-12weeks	B6	None	NA	N	Sort-purified (CD8/Thy1.1) D5 effector TCR SV40-I CD8 T cells replicate#2	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Effector5_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Effector5_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Effector5_2_ATAC_REP1.mLb.clN	Philip2017_Effector_Infection_None
Philip2017_Effector5_3	0.21313	0.183443	5.451284595	Paired	GSE89309	Philip2017	3	1		Spleen	NA		0	100000	LmTAG	5000000	5	Tg_SV40-I		Effector	Infection	TCRTAG-Thy1.1	6-12weeks	B6	None	NA	N	Sort-purified (CD8/Thy1.1) D5 effector TCR SV40-I CD8 T cells replicate#3	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Effector5_3_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Effector5_3_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Effector5_3_ATAC_REP1.mLb.clN	Philip2017_Effector_Infection_None
Philip2017_Effector7_2	0.39043	0.333256	3.000696162	Paired	GSE89309	Philip2017	2	1		Spleen	NA		0	100000	LmTAG	5000000	7	Tg_SV40-I		Effector	Infection	TCRTAG-Thy1.1	6-12weeks	B6	None	NA	N	Sort-purified (CD8/Thy1.1) D7 effector TCR SV40-I CD8 T cells replicate#2	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Effector7_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Effector7_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Effector7_2_ATAC_REP1.mLb.clN	Philip2017_Effector_Infection_None
Philip2017_Effector7_3	0.237834	0.209444	4.774545941	Paired	GSE89309	Philip2017	3	1		Spleen	NA		0	100000	LmTAG	5000000	7	Tg_SV40-I		Effector	Infection	TCRTAG-Thy1.1	6-12weeks	B6	None	NA	N	Sort-purified (CD8/Thy1.1) D7 effector TCR SV40-I CD8 T cells replicate#3	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Effector7_3_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Effector7_3_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Effector7_3_ATAC_REP1.mLb.clN	Philip2017_Effector_Infection_None
Philip2017_Lesion14_1	0.225467	0.18739	5.336464059	Paired	GSE89309	Philip2017	1	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	14	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D14 from early malignant lesions replicate#1	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion14_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion14_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion14_1_ATAC_REP1.mLb.clN	Philip2017_Terminal_Tumor_TAM
